plot,lon,lat,cec,clay,orgCarb,sand,silt,orgMat,tot,lab,org,occ,sec,apa
POL.StrzelceDrezdenko_5682.58600,16.01397981,52.88580364,12.95,8.03,22.1,80.43,11.25,38.012,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5682.58603,16.01352828,52.88786148,13.08,8.03,20.88,80.5,11.48,35.9136,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5682.58605,16.01336483,52.89028276,10.73,7.25,35.48,81.75,11,61.0256,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5682.58606,16.0132847,52.89073257,10.73,5.45,26.35,84.73,9.83,45.322,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5682.58608,16.01393664,52.89214396,10.73,5.45,26.35,84.73,9.83,45.322,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5682.58612,16.01426479,52.89587822,13.63,9.45,24.58,77.78,12.23,42.2776,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5683.58612,16.01509871,52.89641534,12.15,7.48,26.33,76.43,16.03,45.2876,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5684.58603,16.01599373,52.88831946,12.5,6.48,25.8,82.3,11.23,44.376,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.Walcz_5728.58726,16.08478962,52.99796356,7.55,6.68,14.23,80.63,12.7,24.4756,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.Walcz_5729.58726,16.08613467,52.9979944,7.55,6.68,14.23,80.63,12.7,24.4756,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.Walcz_5729.58729,16.08689725,53.00112312,8.05,8,18.38,78.53,13.48,31.6136,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.Walcz_5730.58727,16.08824305,52.99852104,7.3,8.03,14.4,80.15,12.38,24.768,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.Walcz_5730.58729,16.08797022,53.00033912,7.3,8.03,14.4,80.15,12.38,24.768,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.Walcz_5730.58730,16.08769152,53.00158219,8.05,8,18.38,78.53,13.48,31.6136,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.Walcz_5731.58727,16.08852024,52.99863047,7.3,8.03,14.4,80.15,12.38,24.768,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.Walcz_5731.58728,16.08862971,52.9996922,7.3,8.03,14.4,80.15,12.38,24.768,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.Walcz_5731.58731,16.08931904,53.00245605,7.33,8,14.7,81.3,11.23,25.284,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
